chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_mean_1,mfccs_mean_2,mfccs_mean_3,mfccs_mean_4,mfccs_mean_5,mfccs_mean_6,mfccs_mean_7,mfccs_mean_8,mfccs_mean_9,mfccs_mean_10,mfccs_mean_11,mfccs_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,cent_mean,cent_std,cent_skew,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,rolloff_mean,rolloff_std,rolloff_skew,zrate_mean,zrate_std,zrate_skew,tempo_0,singer
0.20006818,0.37352315,0.2039105,0.15667623,0.17261308,0.1570144,0.27809584,0.104953684,0.14314349,0.13106649,0.19168578,0.29656848,0.1723365,0.27624282,0.18624617,0.1476724,0.17996839,0.15155393,0.25494626,0.15465172,0.18290795,0.15595132,0.17397809,0.23310702,-341.39868,116.20017,-40.661762,-15.460032,-6.9786267,-25.88949,-10.01076,-12.300789,-21.781286,-11.320967,-7.1018715,-8.65724,-1.6689506,47.434284,24.287384,19.464296,13.287527,12.829786,12.820335,9.558004,8.094171,8.780065,12.885183,8.722621,10.275906,10.485909,1278.9417047266336,305.1269800863618,2.3178618217578273,21.57044541109186,23.431172596622243,31.312005471713498,28.1094431827992,26.07324025917956,25.124016966689034,49.53963735458549,4.358371090416334,4.938632994019745,5.275527392903737,4.649000205363904,3.91073842455511,4.382677186171495,3.686164818008215,2262.219778258702,626.6711254823739,1.1724158486713327,0.07265676932257675,0.022204166931041044,2.8036013472551486,117.1875,ΑΝΔΡΕΑΣ ΡΟ
0.35747674,0.30810905,0.07498131,0.19304651,0.30104294,0.14163744,0.0854973,0.0872977,0.23851429,0.32596183,0.14645949,0.36054862,0.15889639,0.19207326,0.101550154,0.14296569,0.14380892,0.114464544,0.110368624,0.09557845,0.22271,0.23499797,0.108018436,0.17234345,-279.56293,136.96428,-76.8496,2.2006493,-3.6014574,-20.551214,-7.496084,-17.101954,-21.22902,-12.808009,-3.2382476,4.01592,6.078161,33.06634,14.643523,11.168688,10.743837,9.262548,6.618859,6.841916,6.054513,6.815623,6.804755,8.477504,11.159557,9.643207,1572.4086653442278,216.44091224887785,2.213795269723948,24.650632464764726,22.979045881784284,28.192249519422944,27.331449924755056,24.391979323077962,25.264386656411002,52.728673758798344,4.199931392838959,4.9185861540767855,4.527679094526459,3.9562741605908998,3.503833301079113,2.829781944732616,2.4671878148950883,2635.597087427513,402.11176597352073,2.5369066984311126,0.09304375402706186,0.020545716722750712,0.16431180613098745,151.65441176470588,ΓΙΩΡΓΗΣ ΚΑ
0.19472316,0.10269929,0.089509375,0.24559627,0.108879365,0.06959906,0.041656565,0.20653978,0.45608887,0.26472405,0.52674073,0.300157,0.15607055,0.13359736,0.10704271,0.15466218,0.11729008,0.083801106,0.07048858,0.11697985,0.12032631,0.108854234,0.122849524,0.13427843,-248.84427,138.61848,-49.3859,27.079725,-23.579847,2.2560573,2.6243708,-21.55392,-13.906456,-9.749488,-7.5781217,-7.7113194,-4.7612157,56.08548,26.525846,10.968783,10.142468,11.383996,6.9502826,8.970404,7.1928353,6.6903577,6.95344,7.1534457,7.851897,8.441166,1539.2568385392033,390.8277104232411,-0.3356806754603032,23.967077191191734,25.86487544898998,29.129740788781245,26.446148098547372,24.086530080257756,25.273926684563026,53.322771662974276,4.105138977599268,4.161138425185863,4.501697075644621,3.4975346489842982,3.52003965999071,2.9210558715157084,5.358559429899423,2985.7611315637328,762.2151528863258,-0.8420989902781719,0.07249538487535709,0.02434915548768661,0.6876638860296775,143.22916666666666,ΘΑΝΑΣΗΣ ΣΚ
0.2242922,0.38068876,0.21053334,0.2966415,0.096470185,0.07217731,0.16927923,0.115071595,0.34892333,0.19700055,0.23075753,0.29542133,0.13109809,0.20422235,0.15889494,0.18638021,0.11643828,0.076584995,0.14600168,0.10558222,0.22793892,0.16456756,0.16172944,0.19747199,-253.48494,120.72805,-48.683586,9.369244,-23.480783,-11.087289,2.5894897,-17.157654,-12.075233,-1.7477798,-3.530138,4.439314,-2.756442,53.464397,23.092669,12.469471,8.46371,9.2593155,6.927683,8.0299635,7.3849535,7.262393,7.2736807,7.079234,8.440824,9.494888,1616.6812399727712,352.6191462265623,-1.1143788449029701,16.21457242587121,22.305154547108874,28.268782264376824,27.010324049482094,22.27011896525995,22.250428253236585,53.10837582917892,4.226594090052774,4.9829787665078005,5.075744448767034,4.169643445128794,3.5141416850984313,2.392547002141804,4.944047690736762,3065.4818667952554,697.171628113662,-1.3338983526285269,0.0763095203823123,0.019239960639486596,-1.0162436804969104,103.125,ΑΛΕΚΟΣ ΚΑΡ
0.22497316,0.2538874,0.37895423,0.30125636,0.2762671,0.13624768,0.08236724,0.15141223,0.0657576,0.41635546,0.31607136,0.16321933,0.18155503,0.10379332,0.19711919,0.14312054,0.15664937,0.12410219,0.0732737,0.10913211,0.08471972,0.145609,0.119748674,0.1368898,-245.90123,133.55035,-73.71529,19.174026,-10.714905,5.535394,10.879407,-21.29116,-11.2145405,-15.791686,-14.102158,-9.877198,-9.384784,36.97287,18.458992,15.478477,13.346646,13.59428,13.0515,8.985568,8.793328,6.849595,8.278387,11.062742,6.580966,7.920354,1508.9431467756954,286.2792971444657,2.7385591813194887,22.611704419239384,27.2184010885937,28.336070542637632,28.307329195551404,26.499249267218385,28.003368178589994,52.586278019702014,4.62222852943856,4.723837683624852,5.244288796493313,4.392572323955894,4.208062925911045,3.6128639358873724,2.764650041041063,2694.656385854223,562.2076161249648,1.6369806969999758,0.09077383315337059,0.026853284665749537,0.5442005818073617,234.375,ΣΤΕΛΙΟΣ ΦΟ
0.09307669,0.36971194,0.14696187,0.15158083,0.13825753,0.097242214,0.37292117,0.15720786,0.23983604,0.19499469,0.24379084,0.3276379,0.10294016,0.19106454,0.19081676,0.13751413,0.14558332,0.103679255,0.22532378,0.14604613,0.20200528,0.20232914,0.12302636,0.22814125,-276.9723,144.49303,-38.52305,7.3127937,-13.2069435,-18.53067,2.9925826,-17.299753,-11.944729,-3.445911,-1.9660605,4.1224623,1.2992268,36.431503,20.819069,13.500972,12.295981,10.083119,7.1040874,7.9145904,8.284434,7.100333,7.864154,9.205972,9.9019375,12.117563,1315.724546165127,307.3555381891157,1.0975423539682234,16.83184387022714,20.51291028172438,28.764275549595265,26.461362726128996,23.592542228057933,26.002246423257954,49.78825323680018,4.20080964330623,5.056090278856132,5.201673311148387,3.9901809589914405,3.675112374543872,3.0390715295408595,3.372141565916904,2440.7761625187127,712.8668284202964,0.6035693308924018,0.07080213071453248,0.019050614133133033,0.16663593052666867,214.84375,ΑΛΕΚΟΣ ΚΑΡ
0.24851924,0.33917028,0.10719858,0.16590014,0.26505113,0.06672938,0.13134277,0.22229211,0.38472158,0.38464057,0.19682805,0.32397044,0.12900193,0.15764192,0.124703914,0.12666449,0.13579026,0.09185926,0.1333087,0.13050884,0.116285816,0.14942226,0.11276228,0.13856556,-285.85626,158.77443,-54.060112,-1.8749729,9.014254,-13.235124,-6.8786173,-9.069448,-11.84918,-5.638716,-11.525589,-17.427406,-8.783674,71.86032,33.274788,24.1093,18.361197,10.533168,9.749804,7.638715,7.5042977,8.9734125,6.647558,8.286859,8.063879,7.1634846,1284.0215576896112,373.5770974031952,1.2657711494819344,27.494641508827893,21.09081389610959,25.010776911535935,24.6564772001943,25.772443096090417,24.81351585496537,50.538281160088545,4.618560198999907,5.016590137568286,4.934643631720383,4.061748810316754,4.452770917529722,3.5157599983107013,5.275546149854413,2222.8528116770126,682.5992867352093,0.7233101408588667,0.08178196570494733,0.02408295709326182,0.511267011025429,128.90625,ΓΙΩΡΓΗΣ ΚΑ
0.31534964,0.14068143,0.061211225,0.10036662,0.04738845,0.50669986,0.25733247,0.21801049,0.2389716,0.242714,0.31602514,0.14507578,0.15162088,0.15679389,0.08772304,0.11943971,0.0686165,0.1330745,0.12449769,0.19509862,0.20537502,0.108378395,0.19242114,0.14019205,-220.34389,111.56866,-36.666256,21.85701,0.09226924,6.6003766,-5.2199397,-7.236137,-8.459071,-10.182925,-13.243144,-8.666993,-1.1983231,64.20968,27.404446,13.127659,10.905304,7.2166963,7.5871935,9.021245,7.7408023,6.8313556,8.133637,9.514053,10.561486,10.205277,1739.4494623031858,465.7154750729996,-0.5955739375447979,21.832057167099943,25.574005851488344,30.72863380016582,29.68569051589027,30.265349372142108,25.65465931958348,52.59142898702489,3.7198000310698065,4.9950580870951224,5.1096952987972,4.485108770037644,4.714970380231935,3.620385322833985,6.008584591225945,3150.713453724443,908.9969678272129,-0.5223390429576756,0.09209676471327245,0.03445087323945582,-0.14860857863648672,103.125,ΔΕΡΜΙΤΖΟΓΙ
0.558635,0.15045811,0.14187562,0.17039277,0.22329435,0.15725197,0.03844323,0.13526958,0.10987038,0.31432894,0.24562359,0.2136152,0.18113288,0.11385016,0.172212,0.20379443,0.19767074,0.16680804,0.07017842,0.13334979,0.13684699,0.18847132,0.17787038,0.11168568,-327.89417,127.11496,-50.8498,10.172407,-2.094495,-16.603952,-5.494294,-13.592826,-11.83648,-10.429569,-11.7414465,-11.635289,-4.9396276,54.06453,24.362343,23.051506,16.340328,12.494323,10.089151,9.114925,7.94695,7.1392426,8.993294,10.734624,9.807635,9.829476,1412.3863738688724,372.68921210370354,0.2091940635461905,25.88088971487329,24.440509687772877,29.364605264505578,28.115286543798213,26.69922013092689,25.796474019097893,51.084847459632,4.488819381807513,4.864134116735607,5.563526512529782,4.798862579265299,4.618884866128015,4.043910342899967,4.502540859530538,2539.2486324213687,688.3254505430339,0.09235048154654395,0.08088765148280128,0.03364825898227425,0.9924467142832001,78.125,ΑΝΔΡΕΑΣ ΡΟ
0.39296612,0.24614859,0.2591709,0.18464395,0.15259737,0.28260174,0.0802949,0.19886993,0.167159,0.17658417,0.2858171,0.2439275,0.20941953,0.173898,0.15576515,0.17188239,0.12746595,0.21469231,0.124965586,0.12720507,0.16113771,0.14415507,0.2105013,0.14548239,-269.03763,167.5607,-26.013144,-50.6239,-6.8028626,-5.0654593,-21.596636,-32.061718,-25.757275,-12.975188,-11.83161,-4.178805,5.9513183,33.706703,24.501387,11.715372,9.701273,8.797791,6.799505,7.611507,7.3770094,6.8815384,8.699175,7.197682,7.5884223,8.872745,990.0675013964852,343.0268147959049,9.22932890797247,30.07784959071348,21.48117929917232,27.193202441600285,25.660595859247593,30.877272790544,24.57508335404341,45.11987462508453,5.629440034704177,5.356845252191425,5.070226938815804,4.033073591114517,4.068646014708204,3.3293937170656056,2.4146308221375157,1521.7919859398628,608.0688274218597,10.151186043207904,0.06719157800322786,0.03326367868022884,8.347659030593968,80.56640625,ΚΩΣΤΑΣ ΜΟΥ
